RAJ2000,DEJ2000
10.72875892,34.40910186
16.33174428,36.06839743
16.00846808,36.04023932
15.87223534,36.25702044
12.40223259,35.56518993
12.82639428,36.91374737
14.2223505,36.08010407
14.19634459,36.28306787
14.38623856,38.01499954
8.09932353,35.9069912
7.44868636,35.42033828
6.40498835,36.31215972
11.83268653,36.85750255
11.64704503,37.37288322
12.94802588,37.62829968
12.11056001,37.92834083
13.75543995,38.67927691
11.85480752,40.36166626
10.98784033,40.23369241
10.2881556,40.59803003
11.45116439,40.63455004
11.35432573,41.1061438
10.9523851,40.71024448
10.95762629,40.97071632
11.01280086,41.08231377
10.75811401,40.88398139
10.64325126,40.95255492
10.60435396,40.95489065
10.61413038,40.99331953
10.87708632,41.09507494
10.87960373,41.30406227
10.85829785,41.35879701
11.16763556,41.25014262
11.31118656,41.32692398
10.98509888,41.3674726
10.99236084,41.41063133
11.01092615,41.42408091
10.95174925,41.44809339
11.0146166,41.51073618
11.0960981,41.55175198
11.24134703,41.48994752
11.19327328,41.48826205
18.56457599,39.74519634
17.9014975,39.73328285
15.60527387,38.82677346
17.8252644,40.53404028
16.38711634,40.73134312
19.48590284,42.4704692
15.44713144,40.40355115
14.48289061,41.7158188
14.71244336,42.54929157
13.21989173,42.00862514
11.99811114,41.59125832
12.41583653,41.59160086
11.99073257,41.81265612
11.54306757,41.6278856
11.61256175,42.03131767
13.64936959,42.27620828
15.52750225,42.80183706
14.89397062,44.09413335
14.34198451,45.3288
14.49242154,46.1532323
14.03278865,47.27527335
6.71752319,38.74946961
7.30307525,39.74646735
7.16350038,39.85317341
6.81771542,39.79232785
6.87895096,39.85303688
4.22011572,39.55010114
8.66425173,39.57802379
9.19474394,40.32839943
9.89052797,40.5207296
10.3105368,40.93082626
10.31870686,40.98422546
9.91737236,40.95067479
10.12615403,41.26908731
10.18822949,41.36941333
9.5010598,40.73220508
10.13525491,41.36227741
10.07467303,41.37786471
10.11034657,41.45739971
9.63959827,41.34791658
10.31058537,41.411173
10.24616545,41.4117121
10.93073526,41.56832516
11.13834952,41.69104394
11.17544043,41.73180199
10.79315076,41.84199613
10.59549091,41.87455345
10.59536963,41.90762063
10.13281721,41.65473204
10.38577878,41.64240534
10.43590255,41.77450291
10.29938804,41.76367541
10.56135803,42.02683913
10.51772383,42.05736728
10.19840688,42.14499183
10.20200052,42.20305487
9.02073044,42.03595112
7.43743303,41.21923426
7.41016947,43.48069443
6.61974786,44.37198783
6.48616043,44.40611134
4.59414137,41.95809325
1.54974643,41.68916681
2.09135467,42.19274061
3.95105577,42.85531293
4.60665392,44.6536597
11.00351034,42.58012344
11.04173393,42.78272295
10.9002978,44.98312628
10.00909896,46.03554403
6.99348834,44.78857446
6.22325399,46.29545095
8.806353,45.17717939
8.8076201,46.00537912
8.55306301,46.55377031
7.03870209,47.40365611
11.0777051,46.68355842
10.28578244,46.08946345
10.56133746,46.91460455
10.16154569,47.32644038
