,FieldID
0,m005
1,m011
2,m014
3,m020
4,m022
5,m024
6,m025
7,m033
8,m035
9,m037
10,m043
11,m052
12,m058
13,m062
14,m070
15,m080
16,m082
17,m084
18,m085
19,m091
20,m092
21,m094
22,m095
23,m097
24,m102
25,m111
26,m124
27,m125
28,m126
29,m138
30,m142
31,m146
32,m148
33,m153
34,m161
35,m162
36,m165
37,m167
38,m168
39,m169
40,m173
41,m180
42,m183
43,m184
44,m185
45,m186
46,m187
47,m188
48,m189
49,m196
50,m204
51,m205
52,m206
53,m207
54,m208
55,m209
56,m210
57,m211
58,m212
59,m214
60,m223
61,m224
62,m225
63,m227
64,m228
65,m229
66,m231
67,m232
68,m233
69,m234
70,m235
71,m238
72,m240
73,m243
74,m248
75,m249
76,m253
77,m254
78,m255
79,m256
80,m257
81,m261
82,m263
83,m265
84,m266
85,m267
86,m268
87,m269
88,m274
89,m275
90,m276
91,m277
92,m278
93,m279
94,m280
95,m282
96,m285
97,m286
98,m293
99,m294
100,m296
101,m297
102,m301
103,m303
104,m304
105,m305
106,m306
107,m307
108,m310
109,m316
110,m317
111,m319
112,m321
113,m323
114,m327
115,m328
116,m333
117,m334
118,m335
119,m338
120,m340
121,m341
122,m342
123,m348
124,m351
125,m362
126,m368
127,m375
128,m379
129,m390
130,m391
131,m392
132,m395
133,m398
134,m402
135,m404
